sich leicht mit etwas tun	146	A3	redewendung
Spitzenleistungen erbringen	146	A3	redewendung
eine Sicht bestreiten	146	A3	redewendung
die Rolle der Gene für maßlos überbewertet halten	146	A3	redewendung
auf jemanden zurückgehen	146	A3	redewendung
eine Theorie zur Vererbung geistiger Anlagen entwickeln	146	A3	redewendung
eine Theorie mit Hunderten Fallstudien belegen	146	A3	redewendung
sich quer durch die Familiengeschichte ziehen	146	A3	redewendung
der nüchterne Blick ergibt ein anderes Bild	146	A3	redewendung
keine Anzeichen einer Hochbegabung finden	146	A3	redewendung
bislang fehlt der Beweis	146	A3	redewendung
über den Lebenserfolg entscheiden	146	A3	redewendung
mittelmäßig abschneiden	146	A3	redewendung
einen großen Beitrag zum Erfolg leisten	146	A3	redewendung
bei näherem Hinsehen	146	A3	redewendung
es mit wenig Übung an die Spitze bringen	146	A3	redewendung
in die Weltklasse vorstoßen	146	A3	redewendung
keine Ausnahme bilden	146	A3	redewendung
als Schlüssel zum Erfolg dienen	146	A3	redewendung
ein stimulierendes Umfeld	146	A3	redewendung
Scheitern als Chance begreifen	146	A3	redewendung
reine Glückssache sein	146	A3	redewendung
genetisch vorbestimmt sein	149	A6	redewendung
Probleme in der spezifischen Umwelt meistern	149	A6	redewendung
immer mehr Beachtung finden	149	A6	redewendung
in der Lage sein zu erkennen, was jemand im Schilde führt	149	A6	redewendung
Situationen vorab im Kopf durchspielen	149	A6	redewendung
seelenruhig zu seinem Snack spazieren	149	A6	redewendung
über eine große soziale Intelligenz verfügen	149	A6	redewendung
einfache neuronale Netzwerke reichen aus	149	A6	redewendung
jemandem eine ökologische und soziale Intelligenz zugestehen	149	A6	redewendung
ausgeklügelte Formen der Brutpflege betreiben	149	A6	redewendung
Neuesten Untersuchungen zufolge	150	A8	redewendung
Laut neuen Erkenntnissen	150	A8	redewendung
Anhand von Experimenten konnte bewiesen werden, dass	150	A8	redewendung
Es ist seit Langem bekannt, dass	150	A8	redewendung
jemandem wird nach und nach klar, dass	151	A11	redewendung
sich etwas nur mit einem göttlichen Auftrag erklären	151	A11	redewendung
ein wunderlicher Kauz	151	A11	redewendung
an etwas scheitern	151	A11	redewendung
jemandem als Kompass dienen	151	A11	redewendung
sich in einer veränderten Welt orientieren	151	A11	redewendung
Feuer fangen	151	A12	redewendung
Gleich und Gleich gesellt sich gern.	151	A12	satz
ein treibender und immens wichtiger Faktor	151	A12	redewendung
jemanden blitzschnell nach etwas abscannen	151	A12	redewendung
mit etwas übereinstimmen	151	A12	redewendung
dieselben Wertvorstellungen vertreten	151	A12	redewendung
mit steigender Tendenz	151	A12	redewendung
die Bereitschaft scheint zu steigen	151	A12	redewendung
dem Glück auf die Sprünge helfen	151	A12	redewendung
einsame Herzen	151	A12	redewendung
jemandem die Aufnahme in ein Single-Sammelalbum anbieten	151	A12	redewendung
jemanden nach Gefühl verkuppeln	151	A12	redewendung
zu einer festen Beziehung führen	151	A12	redewendung
eine beachtliche Quote	151	A12	redewendung
eine Suchanzeige aufgeben	151	A12	redewendung
jemanden zum Lächeln bringen	151	A12	redewendung
Liebe auf den ersten Blick	152	A12	redewendung
jemandem selbst widerfahren	152	A12	redewendung
sich Hals über Kopf vergucken	152	A12	redewendung
für visuelle Reize empfänglich sein	152	A12	redewendung
länger abwägen	152	A12	redewendung
das Gegenteil tritt häufig ein	152	A12	redewendung
jemanden anfangs nicht anziehend finden	152	A12	redewendung
immer wieder mit Reizen konfrontiert werden	152	A12	redewendung
sich zum Ohrwurm entwickeln	152	A12	redewendung
falls der Zeitpunkt passt	152	A12	redewendung
etwas nicht auf die wahren Ursachen zurückführen	152	A12	redewendung
etwas auf jemanden übertragen	152	A12	redewendung
